Month,EG_(GWh)
2010-01-01,2624
2010-02-01,2336
2010-03-01,2432
2010-04-01,2126
2010-05-01,2095
2010-06-01,1990
2010-07-01,2041
2010-08-01,2023
2010-09-01,2069
2010-10-01,2201
2010-11-01,2399
2010-12-01,2653
2011-01-01,2545
2011-02-01,2214
2011-03-01,2331
2011-04-01,2050
2011-05-01,2096
2011-06-01,1983
2011-07-01,1992
2011-08-01,2028
2011-09-01,2009
2011-10-01,2187
2011-11-01,2260
2011-12-01,2433
2012-01-01,2905
2012-02-01,2580
2012-03-01,2515
2012-04-01,2436
2012-05-01,2341
2012-06-01,2174
2012-07-01,2191
2012-08-01,2272
2012-09-01,2280
2012-10-01,2447
2012-11-01,2615
2012-12-01,2802
2013-01-01,2423
2013-02-01,2194
2013-03-01,2386
2013-04-01,2153
2013-05-01,2104
2013-06-01,1917
2013-07-01,2032
2013-08-01,2010
2013-09-01,2006
2013-10-01,2229
2013-11-01,2250
2013-12-01,2368
2014-01-01,2438
2014-02-01,2212
2014-03-01,2336
2014-04-01,2086
2014-05-01,2104
2014-06-01,1975
2014-07-01,2038
2014-08-01,2036
2014-09-01,2057
2014-10-01,2212
2014-11-01,2276
2014-12-01,2424
2015-01-01,2498
2015-02-01,2277
2015-03-01,2397
2015-04-01,2156
2015-05-01,2193
2015-06-01,2054
2015-07-01,2102
2015-08-01,2088
2015-09-01,2118
2015-10-01,2279
2015-11-01,2353
2015-12-01,2445
2016-01-01,2503
2016-02-01,2389
2016-03-01,2438
2016-04-01,2287
2016-05-01,2194
2016-06-01,2076
2016-07-01,2136
2016-08-01,2180
2016-09-01,2154
2016-10-01,2298
2016-11-01,2439
2016-12-01,2490
2017-01-01,2586
2017-02-01,2359
2017-03-01,2510
2017-04-01,2258
2017-05-01,2239
2017-06-01,2138
2017-07-01,2200
2017-08-01,2203
2017-09-01,2202
2017-10-01,2361
2017-11-01,2496
2017-12-01,2603
2018-01-01,2656
2018-02-01,2397
2018-03-01,2618
2018-04-01,2380
2018-05-01,2306
2018-06-01,2175
2018-07-01,2251
2018-08-01,2255
2018-09-01,2247
2018-10-01,2439
2018-11-01,2526
2018-12-01,2769
2019-01-01,2700
2019-02-01,2409
2019-03-01,2529
2019-04-01,2457
2019-05-01,2383
2019-06-01,2245
2019-07-01,2311
2019-08-01,2319
2019-09-01,2318
2019-10-01,2556
2019-11-01,2689
2019-12-01,2733
2020-01-01,2791
2020-02-01,2673
2020-03-01,2693
2020-04-01,2218
2020-05-01,2240
2020-06-01,2232
2020-07-01,2371
2020-08-01,2370
2020-09-01,2385
2020-10-01,2599
2020-11-01,2635
2020-12-01,2846
2021-01-01,2835
2021-02-01,2576
2021-03-01,2719
2021-04-01,2496
2021-05-01,2520
2021-06-01,2375
2021-07-01,2469
2021-08-01,2462
2021-09-01,2466
2021-10-01,2632
2021-11-01,2757
2021-12-01,2871
2022-01-01,2821
2022-02-01,2680
2022-03-01,2820
