Datetime,AG_MW, REGION
16-02-2022 00:00,4959,All Island
16-02-2022 00:15,4984,All Island
16-02-2022 00:30,5063,All Island
16-02-2022 00:45,5068,All Island
16-02-2022 01:00,5014,All Island
16-02-2022 01:15,4983,All Island
16-02-2022 01:30,4935,All Island
16-02-2022 01:45,4890,All Island
16-02-2022 02:00,4860,All Island
16-02-2022 02:15,4833,All Island
16-02-2022 02:30,4795,All Island
16-02-2022 02:45,4748,All Island
16-02-2022 03:00,4666,All Island
16-02-2022 03:15,4655,All Island
16-02-2022 03:30,4652,All Island
16-02-2022 03:45,4665,All Island
16-02-2022 04:00,4663,All Island
16-02-2022 04:15,4675,All Island
16-02-2022 04:30,4673,All Island
16-02-2022 04:45,4660,All Island
16-02-2022 05:00,4669,All Island
16-02-2022 05:15,4731,All Island
16-02-2022 05:30,4757,All Island
16-02-2022 05:45,4766,All Island
16-02-2022 06:00,4804,All Island
16-02-2022 06:15,4925,All Island
16-02-2022 06:30,4946,All Island
16-02-2022 06:45,5115,All Island
16-02-2022 07:00,5392,All Island
16-02-2022 07:15,5632,All Island
16-02-2022 07:30,5676,All Island
16-02-2022 07:45,5739,All Island
16-02-2022 08:00,5638,All Island
16-02-2022 08:15,5570,All Island
16-02-2022 08:30,5655,All Island
16-02-2022 08:45,5806,All Island
16-02-2022 09:00,5808,All Island
16-02-2022 09:15,5750,All Island
16-02-2022 09:30,5686,All Island
16-02-2022 09:45,5674,All Island
16-02-2022 10:00,5747,All Island
16-02-2022 10:15,5806,All Island
16-02-2022 10:30,5828,All Island
16-02-2022 10:45,5825,All Island
16-02-2022 11:00,5842,All Island
16-02-2022 11:15,5933,All Island
16-02-2022 11:30,5971,All Island
16-02-2022 11:45,6050,All Island
16-02-2022 12:00,6111,All Island
16-02-2022 12:15,6217,All Island
16-02-2022 12:30,6237,All Island
16-02-2022 12:45,6306,All Island
16-02-2022 13:00,6276,All Island
16-02-2022 13:15,6185,All Island
16-02-2022 13:30,6099,All Island
16-02-2022 13:45,6101,All Island
16-02-2022 14:00,6173,All Island
16-02-2022 14:15,6189,All Island
16-02-2022 14:30,6135,All Island
16-02-2022 14:45,6078,All Island
16-02-2022 15:00,6133,All Island
16-02-2022 15:15,6219,All Island
16-02-2022 15:30,6219,All Island
16-02-2022 15:45,6232,All Island
16-02-2022 16:00,6185,All Island
16-02-2022 16:15,6208,All Island
16-02-2022 16:30,6360,All Island
16-02-2022 16:45,6490,All Island
16-02-2022 17:00,6567,All Island
16-02-2022 17:15,6625,All Island
16-02-2022 17:30,6817,All Island
16-02-2022 17:45,6858,All Island
16-02-2022 18:00,6826,All Island
16-02-2022 18:15,6840,All Island
16-02-2022 18:30,6733,All Island
16-02-2022 18:45,6673,All Island
16-02-2022 19:00,6694,All Island
16-02-2022 19:15,6725,All Island
16-02-2022 19:30,6640,All Island
16-02-2022 19:45,6468,All Island
16-02-2022 20:00,6337,All Island
16-02-2022 20:15,6283,All Island
16-02-2022 20:30,6011,All Island
16-02-2022 20:45,5868,All Island
16-02-2022 21:00,5957,All Island
16-02-2022 21:15,5973,All Island
16-02-2022 21:30,5917,All Island
16-02-2022 21:45,5807,All Island
16-02-2022 22:00,5699,All Island
16-02-2022 22:15,5574,All Island
16-02-2022 22:30,5366,All Island
16-02-2022 22:45,5145,All Island
16-02-2022 23:00,5066,All Island
16-02-2022 23:15,5214,All Island
16-02-2022 23:30,5156,All Island
16-02-2022 23:45,4931,All Island
17-02-2022 00:00,4821,All Island
17-02-2022 00:15,4806,All Island
17-02-2022 00:30,4892,All Island
17-02-2022 00:45,4918,All Island
17-02-2022 01:00,4957,All Island
17-02-2022 01:15,4968,All Island
17-02-2022 01:30,4852,All Island
17-02-2022 01:45,4675,All Island
17-02-2022 02:00,4609,All Island
17-02-2022 02:15,4650,All Island
17-02-2022 02:30,4589,All Island
17-02-2022 02:45,4537,All Island
17-02-2022 03:00,4579,All Island
17-02-2022 03:15,4583,All Island
17-02-2022 03:30,4484,All Island
17-02-2022 03:45,4374,All Island
17-02-2022 04:00,4375,All Island
17-02-2022 04:15,4483,All Island
17-02-2022 04:30,4380,All Island
